TE,NP,NU
6520381401,Щ,ДНІПРОВСЬКЕ
6520381402,Щ,ЯНТАРНЕ
6520381405,Щ,ПЕРВОМАЙСЬКЕ
6520381407,Щ,РОМАШКОВЕ
6520382000,,ІНГУЛЕЦЬКА/С.ІНГУЛЕЦЬ
6520382001,С,ІНГУЛЕЦЬ
6520382002,С,ЗАРІЧНЕ
6520382003,С,ЯСНА ПОЛЯНА
6520382500,,КІЗОМИСЬКА/С.КІЗОМИС
6520382501,С,КІЗОМИС
6520382502,Щ,БЕРЕГОВЕ
6520382503,Щ,ВЕЛЕТЕНСЬКЕ
6520382505,Щ,ГОНЧАРНЕ
6520383000,,КИСЕЛІВСЬКА/С.КИСЕЛІВКА
6520383001,С,КИСЕЛІВКА
6520383002,С,БАРВІНОК
6520383003,С,ЗЕЛЕНИЙ ГАЙ
6520383004,С,КЛАПАЯ
6520383500,,МУЗИКІВСЬКА/С.МУЗИКІВКА
6520383501,С,МУЗИКІВКА
6520383502,С,ВИСУНЦІ
6520383503,С,МІРОШНИКІВКА
6520384500,,МИКІЛЬСЬКА/С.МИКІЛЬСЬКЕ
6520384501,С,МИКІЛЬСЬКЕ
6520384502,С,ПОНЯТІВКА
6520384700,,БЛАГОДАТНІВСЬКА/С.БЛАГОДАТНЕ
6520384701,С,БЛАГОДАТНЕ
6520385000,,ПОСАД-ПОКРОВСЬКА/С.ПОСАД-ПОКРОВСЬКЕ
6520385001,С,ПОСАД-ПОКРОВСЬКЕ
6520385002,С,СОЛДАТСЬКЕ
6520385003,Щ,КОПАНІ
6520385500,,ПРАВДИНСЬКА/С.ПРАВДИНЕ
6520385501,С,ПРАВДИНЕ
6520385502,С,ТАВРІЙСЬКЕ
6520385503,С,НОВА ЗОРЯ
6520385800,,МИРОЛЮБІВСЬКА/С-ЩЕ МИРОЛЮБІВКА
6520385801,Щ,МИРОЛЮБІВКА
6520385802,С,ГРОЗОВЕ
6520385803,Щ,ДОСЛІДНЕ
6520385804,Щ,МОЛОДЕЦЬКЕ
6520385805,С,ПАРИШЕВЕ
6520385806,Щ,МИРНЕ
6520386000,,САДІВСЬКА/С.САДОВЕ
6520386001,С,САДОВЕ
6520386002,Щ,ПРИДНІПРОВСЬКЕ
6520386500,,СТАНІСЛАВСЬКА/С.СТАНІСЛАВ
6520386501,С,СТАНІСЛАВ
6520386700,,СХІДНЕНСЬКА/С-ЩЕ СХІДНЕ
6520386701,Щ,СХІДНЕ
6520386703,С,ЗАГОРЯНІВКА
6520387000,,ТОКАРІВСЬКА/С.ТОКАРІВКА
6520387001,С,ТОКАРІВКА
6520387002,С,ІВАНІВКА
6520387003,С,НОВОТЯГИНКА
6520387100,,ТОМИНОБАЛКІВСЬКА/С.ТОМИНА БАЛКА
6520387101,С,ТОМИНА БАЛКА
6520387102,С,НОВОДМИТРІВКА
6520387300,,ФЕДОРІВСЬКА/С.ФЕДОРІВКА
6520387301,С,ФЕДОРІВКА
6520387302,С,УЛЬЯНОВКА
6520387500,,ЧОРНОБАЇВСЬКА/С.ЧОРНОБАЇВКА
6520387501,С,ЧОРНОБАЇВКА
6520387502,С,КРУТИЙ ЯР
6520388600,,ШИРОКОБАЛКІВСЬКА/С.ШИРОКА БАЛКА
6520388601,С,ШИРОКА БАЛКА
6520388602,С,СОФІЇВКА
6520600000,,БЕРИСЛАВСЬКИЙ РАЙОН/М.БЕРИСЛАВ
6520610000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ БЕРИСЛАВСЬКОГО Р-НУ
6520610100,М,БЕРИСЛАВ
6520655000,,СЕЛИЩА МІСЬКОГО ТИПУ БЕРИСЛАВСЬКОГО Р-НУ
6520655400,Т,КОЗАЦЬКЕ
6520680000,,СІЛЬРАДИ БЕРИСЛАВСЬКОГО Р-НУ
6520680200,,БУРГУНСЬКА/С.БУРГУНКА
6520680201,С,БУРГУНКА
6520680400,,ВЕСЕЛІВСЬКА/С-ЩЕ ВЕСЕЛЕ
6520680401,Щ,ВЕСЕЛЕ
6520680600,,ВИСОКІВСЬКА/С.ВИСОКЕ
6520680601,С,ВИСОКЕ
6520680602,С,ЛЬВІВСЬКІ ОТРУБИ
6520680603,Щ,МАТРОСІВКА
6520680605,С,ТАВРІЙСЬКЕ
6520681200,,ЗМІЇВСЬКА/С.ЗМІЇВКА
6520681201,С,ЗМІЇВКА
6520681800,,КАЧКАРІВСЬКА/С.КАЧКАРІВКА
6520681801,С,КАЧКАРІВКА
6520681802,С,САБЛУКІВКА
6520682400,,ЛИМАНЕЦЬКА/С.ЛИМАНЕЦЬ
6520682401,С,ЛИМАНЕЦЬ
6520682403,С,ІНГУЛІВКА
6520682405,С,ВІТРОВЕ
6520682406,С,ЧАЙКИНЕ
6520683000,,ЛЬВІВСЬКА/С.ЛЬВОВЕ
6520683001,С,ЛЬВОВЕ
6520683600,,МАКСИМО-ГОРЬКІВСЬКА/С.МАКСИМА ГОРЬКОГО
6520683601,С,МАКСИМА ГОРЬКОГО
6520684200,,МИЛІВСЬКА/С.МИЛОВЕ
6520684201,С,МИЛОВЕ
6520684202,С,СУХАНОВЕ
6520684203,С,ЧЕРВОНИЙ ЯР
6520684400,,НОВОБЕРИСЛАВСЬКА/С.НОВОБЕРИСЛАВ
6520684401,С,НОВОБЕРИСЛАВ
6520684800,,НОВОКАЇРСЬКА/С.НОВОКАЇРИ
6520684801,С,НОВОКАЇРИ
6520684802,С,РЕСПУБЛІКАНЕЦЬ
6520685200,,НОВОРАЙСЬКА/С-ЩЕ НОВОРАЙСЬК
6520685201,Щ,НОВОРАЙСЬК
6520685203,Щ,ЗАМОЖНЕ
6520685204,С,КОСТИРКА
6520685500,,ОЛЬГІВСЬКА/С.ОЛЬГІВКА
6520685501,С,ОЛЬГІВКА
6520685502,С,ВІРІВКА
6520685900,,ОДРАДОКАМ'ЯНСЬКА/С.ОДРАДОКАМ'ЯНКА
6520685901,С,ОДРАДОКАМ'ЯНКА
6520685902,С,МИКОЛАЇВКА
6520686600,,РАКІВСЬКА/С.РАКІВКА
6520686601,С,РАКІВКА
6520686602,С,НОВОСІЛКА
6520686603,С,ПЕРШОТРАВНЕВЕ
6520686604,С,ТАРАСА ШЕВЧЕНКА
6520686700,,СТЕПНЯНСЬКА/С.СТЕПНЕ
6520686701,С,СТЕПНЕ
6520686702,С,КОШАРА
6520686900,,ТОМАРИНСЬКА/С.ТОМАРИНЕ
6520686901,С,ТОМАРИНЕ
6520687100,,ТЯГИНСЬКА/С.ТЯГИНКА
6520687101,С,ТЯГИНКА
6520687300,,УРОЖАЙНЕНСЬКА/С.УРОЖАЙНЕ
6520687301,С,УРОЖАЙНЕ
6520688200,,ЧЕРВОНОМАЯЦЬКА/С-ЩЕ ЧЕРВОНИЙ МАЯК
6520688201,Щ,ЧЕРВОНИЙ МАЯК
6520688202,С,КРУПИЦЯ
6520688203,Щ,МОНАСТИРСЬКЕ
6520688400,,ШЛЯХІВСЬКА/С-ЩЕ ШЛЯХОВЕ
6520688401,Щ,ШЛЯХОВЕ
6520900000,,ВЕЛИКООЛЕКСАНДРІВСЬКИЙ РАЙОН/СМТ ВЕЛИКА ОЛЕКСАНДРІВКА
6520955000,,СЕЛИЩА МІСЬКОГО ТИПУ ВЕЛИКООЛЕКСАНДРІВСЬКОГО Р-НУ
6520955100,Т,ВЕЛИКА ОЛЕКСАНДРІВКА
6520955102,С,ТВЕРДОМЕДОВЕ
6520955400,Т,БІЛА КРИНИЦЯ
6520955401,С,БІЛОУСОВЕ
6520955403,С,ПЕРВОМАЙСЬКЕ
6520955700,Т,КАЛИНІВСЬКЕ
6520955701,С,ЗЕЛЕНИЙ ГАЙ
6520955702,С,КРАСНОЛЮБЕЦЬК
6520955703,С,НОВОПОЛТАВКА
6520956000,Т,КАР'ЄРНЕ
6520980000,,СІЛЬРАДИ ВЕЛИКООЛЕКСАНДРІВСЬКОГО Р-НУ
6520980300,,БІЛОУСІВСЬКА/С.БІЛОУСОВЕ
6520980301,С,БІЛОУСОВЕ
6520980305,С,ТОКАРЕВЕ
6520980500,,БЛАГОДАТІВСЬКА/С.БЛАГОДАТІВКА
6520980501,С,БЛАГОДАТІВКА
6520980502,С,АНДРІЇВКА
6520980503,С,ЛОЗОВЕ
6520980504,С,МАЛА СЕЙДЕМИНУХА
6520980505,С,НОВОГРЕДНЄВЕ
6520980506,С,СУХИЙ СТАВОК
6520980700,,БОБРОВОКУТСЬКА/С.БОБРОВИЙ КУТ
6520980701,С,БОБРОВИЙ КУТ
6520980702,С,ЗАПОВІТ
6520981000,,БОРОЗЕНСЬКА/С.БОРОЗЕНСЬКЕ
6520981001,С,БОРОЗЕНСЬКЕ
6520981002,С,КУЧЕРСЬКЕ
6520981003,С,П'ЯТИХАТКИ
6520981004,С,САДОК
6520981500,,БРУСКИНСЬКА/С.БРУСКИНСЬКЕ
6520981501,С,БРУСКИНСЬКЕ
6520981502,С,БЕЗВОДНЕ
6520981503,С,ІЩЕНКА
6520981504,С,КОСТРОМКА
6520982000,,ДАВИДОВО-БРІДСЬКА/С.ДАВИДІВ БРІД
6520982001,С,ДАВИДІВ БРІД
6520982002,С,БІЛОГІРКА
6520982003,С,ЗАПОРІЖЖЯ
6520982500,,МАЛООЛЕКСАНДРІВСЬКА/С.МАЛА ОЛЕКСАНДРІВКА
6520982501,С,МАЛА ОЛЕКСАНДРІВКА
6520983000,,НОВОДМИТРІВСЬКА/С.НОВОДМИТРІВКА
6520983001,С,НОВОДМИТРІВКА
6520983300,,НОВОКАЛУЗЬКА/С.НОВА КАЛУГА
6520983301,С,НОВА КАЛУГА
6520983302,С,ВЕСЕЛЕ
6520983303,С,НОВА КАЛУГА ДРУГА
6520983304,С,ЧЕРВОНА ЛЮДМИЛІВКА
6520983500,,НОВОКАМ'ЯНСЬКА/С.НОВА КАМ'ЯНКА
6520983501,С,НОВА КАМ'ЯНКА
6520983503,С,НОВОГРИГОРІВКА
6520983700,,НОВОКУБАНСЬКА/С.НОВА КУБАНЬ
6520983701,С,НОВА КУБАНЬ
6520983703,С,СТАРИЦЯ
6520984000,,НОВОПАВЛІВСЬКА/С.НОВОПАВЛІВКА
6520984001,С,НОВОПАВЛІВКА
6520984002,С,БУЦІВСЬКЕ
6520984300,,СТАРОСІЛЬСЬКА/С.СТАРОСІЛЛЯ
6520984301,С,СТАРОСІЛЛЯ
6520984303,С,ДОВГОВЕ
6520984305,С,КАМ'ЯНЕ
6520984309,С,ШОСТАКОВЕ
6520984500,,ТРИФОНІВСЬКА/С.ТРИФОНІВКА
6520984501,С,ТРИФОНІВКА
6520984503,С,НОВОВАСИЛІВКА
6520984800,,ЧАРІВНЕНСЬКА/С.ЧАРІВНЕ
6520984801,С,ЧАРІВНЕ
6520984802,С,ДМИТРЕНКА
6520984803,С,КОСТОМАРОВЕ
6520984804,С,КРАСНОСІЛЬСЬКЕ
6520985000,,ЧКАЛОВСЬКА/С.ЧКАЛОВЕ
6520985001,С,ЧКАЛОВЕ
6520985002,С,ВИШНЕВЕ
6520985003,С,ЩАСЛИВЕ
6520985004,С,КРИНИЧАНКА
6520985005,С,СТЕПОВЕ
6521200000,,ВЕЛИКОЛЕПЕТИСЬКИЙ РАЙОН/СМТ ВЕЛИКА ЛЕПЕТИХА
6521255000,,СЕЛИЩА МІСЬКОГО ТИПУ ВЕЛИКОЛЕПЕТИСЬКОГО Р-НУ
6521255100,Т,ВЕЛИКА ЛЕПЕТИХА
6521280000,,СІЛЬРАДИ ВЕЛИКОЛЕПЕТИСЬКОГО Р-НУ
6521280500,,ДЕМИДІВСЬКА/С.ДЕМИДІВКА
6521280501,С,ДЕМИДІВКА
6521280502,С,ЗАПОРІЖЖЯ
6521281100,,КАТЕРИНІВСЬКА/С.КАТЕРИНІВКА
6521281101,С,КАТЕРИНІВКА
6521281102,С,КОСТЯНТИНІВКА
6521282200,,КНЯЗЕ-ГРИГОРІВСЬКА/С.КНЯЗЕ-ГРИГОРІВКА
6521282201,С,КНЯЗЕ-ГРИГОРІВКА
6521282202,С,СЕРЕДНЄ
6521283300,,МАЛОЛЕПЕТИСЬКА/С.МАЛА ЛЕПЕТИХА
6521283301,С,МАЛА ЛЕПЕТИХА
6521283302,С,ДМИТРІВКА
6521283303,С,СЕРГІЇВКА
6521284400,,МИКОЛАЇВСЬКА/С.МИКОЛАЇВКА
6521284401,С,МИКОЛАЇВКА
6521285500,,РУБАНІВСЬКА/С.РУБАНІВКА
6521285501,С,РУБАНІВКА
6521285502,С,ВЕСЕЛЕ
6521500000,,ВЕРХНЬОРОГАЧИЦЬКИЙ РАЙОН/СМТ ВЕРХНІЙ РОГАЧИК
6521555000,,СЕЛИЩА МІСЬКОГО ТИПУ ВЕРХНЬОРОГАЧИЦЬКОГО Р-НУ
6521555100,Т,ВЕРХНІЙ РОГАЧИК
6521555101,С,ВИШНЕВЕ
6521555102,С,ЗОРЯ
6521555103,С,ВОЛОДИМИРІВКА
6521555104,С,ТРУДОВИК
6521580000,,СІЛЬРАДИ ВЕРХНЬОРОГАЧИЦЬКОГО Р-НУ
6521580600,,БЕРЕЖАНСЬКА/С.БЕРЕЖАНКА
6521580601,С,БЕРЕЖАНКА
6521580602,С,ГЕОРГІЇВКА
6521580603,С,МИХАЙЛІВКА
6521580604,С,НОВОЗНАМ'ЯНКА
6521581100,,ЗЕЛЕНІВСЬКА/С.ЗЕЛЕНЕ
6521581101,С,ЗЕЛЕНЕ
6521583300,,ПЕРВОМАЇВСЬКА/С.ПЕРВОМАЇВКА
6521583301,С,ПЕРВОМАЇВКА
6521583304,С,ТАВРІЙСЬКЕ
6521584400,,САМІЙЛІВСЬКА/С.САМІЙЛІВКА
6521584401,С,САМІЙЛІВКА
6521584402,С,ЛИСИЧЕ
6521584403,С,ПАВЛІВКА
6521585500,,УШКАЛЬСЬКА/С.УШКАЛКА
6521585501,С,УШКАЛКА
6521585502,С,БАБИНЕ
6521585503,С,НИЖНІЙ РОГАЧИК
6521586000,,ЧИСТОПІЛЬСЬКА/С.ЧИСТОПІЛЛЯ
6521586001,С,ЧИСТОПІЛЛЯ
6521586003,С,КОЖУМ'ЯКИ
6521586005,С,ОЛЕКСІЇВКА
6521800000,,ВИСОКОПІЛЬСЬКИЙ РАЙОН/СМТ ВИСОКОПІЛЛЯ
6521855000,,СЕЛИЩА МІСЬКОГО ТИПУ ВИСОКОПІЛЬСЬКОГО Р-НУ
6521855100,Т,ВИСОКОПІЛЛЯ
6521855101,С,КНЯЗІВКА
6521855102,С,ПОТЬОМКИНЕ
6521855103,С,ТОПОЛИНЕ
6521855200,Т,АРХАНГЕЛЬСЬКЕ
6521855201,С,БЛАКИТНЕ
6521880000,,СІЛЬРАДИ ВИСОКОПІЛЬСЬКОГО Р-НУ
6521880700,,ЗАГРАДІВСЬКА/С.ЗАГРАДІВКА
6521880701,С,ЗАГРАДІВКА
6521880800,,ЗАРІЧНЕНСЬКА/С.ЗАРІЧНЕ
6521880801,С,ЗАРІЧНЕ
6521880802,С,БЛАГОДАТНЕ
6521880803,С,МАР'ІНЕ
6521881000,,ІВАНІВСЬКА/С.ІВАНІВКА
6521881001,С,ІВАНІВКА
6521881002,С,МИКОЛАЇВКА
6521881500,,КОЧУБЕЇВСЬКА/С.КОЧУБЕЇВКА
6521881501,С,КОЧУБЕЇВКА
6521881502,С,ЛУГІВКА
6521881503,С,МИКІЛЬСЬКЕ
6521881504,С,СВІТЛІВКА
6521882000,,МАЛОШЕСТІРНЯНСЬКА/С.МАЛА ШЕСТЕРНЯ
6521882001,С,МАЛА ШЕСТЕРНЯ
6521882002,С,НОВОГРИГОРІВСЬКЕ
6521882003,С,ФЕДОРІВКА
6521882500,,НОВОВОЗНЕСЕНСЬКА/С.НОВОВОЗНЕСЕНСЬКЕ
6521882501,С,НОВОВОЗНЕСЕНСЬКЕ
6521882502,С,ВЕРЕМІЇВКА
6521882503,С,ДОБРЯНКА
6521882504,С,КОСТИРКА
6521883000,,НОВОМИКОЛАЇВСЬКА/С.НОВОМИКОЛАЇВКА
6521883001,С,НОВОМИКОЛАЇВКА
6521883003,С,ЧЕРЕШНЕВЕ
6521883500,,НОВОПЕТРІВСЬКА/С.НОВОПЕТРІВКА
6521883501,С,НОВОПЕТРІВКА
6521883502,С,ОЛЬГИНЕ
6521884000,,ОРЛІВСЬКА/С.ОРЛОВЕ
6521884001,С,ОРЛОВЕ
6521884002,С,НАТАЛИНЕ
6521884003,С,НОВОБРАТСЬКЕ
6521884004,С,НОВА ШЕСТІРНЯ
6521884005,С,РІВНОПІЛЛЯ
6521884006,С,СОФІЇВКА
6521884500,,ПРИГІР'ЇВСЬКА/С.ПРИГІР'Я
6521884501,С,ПРИГІР'Я
6521884502,С,КАМ'ЯНКА
6521884503,С,КРАСНІВКА
6521884504,С,РОЗІВКА
6521884505,С,СВОБОДНЕ
6522100000,,ГЕНІЧЕСЬКИЙ РАЙОН/М.ГЕНІЧЕСЬК
6522110000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ГЕНІЧЕСЬКОГО Р-НУ
6522110100,М,ГЕНІЧЕСЬК
6522155000,,СЕЛИЩА МІСЬКОГО ТИПУ ГЕНІЧЕСЬКОГО Р-НУ
6522155400,Т,НОВООЛЕКСІЇВКА
6522155700,Т,РИКОВЕ
6522155701,С,ГАЙОВЕ
6522155702,С,ДОГМАРІВКА
6522155703,С,МОСКАЛЕНКА
6522180000,,СІЛЬРАДИ ГЕНІЧЕСЬКОГО Р-НУ
6522180400,,ПЛАВСЬКА/С.ПЛАВСЬКЕ
6522180401,С,ПЛАВСЬКЕ
6522180402,С,ВІЛЬНЕ
6522180404,С,НОВИЙ СВІТ
6522180405,С,РОЗДОЛЛЯ
6522180407,С,ЯКИМІВКА
6522181000,,НОВОГРИГОРІВСЬКА/С.НОВОГРИГОРІВКА
6522181001,С,НОВОГРИГОРІВКА
6522181002,С,ЗЕЛЕНИЙ ГАЙ
6522181003,С,ХЕРСОНСЬКЕ
6522181500,,НОВОДМИТРІВСЬКА/С.НОВОДМИТРІВКА
6522181501,С,НОВОДМИТРІВКА
6522181502,С,ВЕСНЯНКА
6522181503,С,ЛЮБЛИНКА
6522182000,,НОВОІВАНІВСЬКА/С.НОВОІВАНІВКА
6522182001,С,НОВОІВАНІВКА
6522182004,С,ПРОБУДЖЕННЯ
6522182500,,ОЗЕРЯНСЬКА/С.ОЗЕРЯНИ
6522182501,С,ОЗЕРЯНИ
6522182502,С,ПРИМОРСЬКЕ
6522182503,С,НОВИЙ АЗОВ
6522182504,С,ПЕРЕКОП
6522182505,С,ПЧІЛКА
6522183000,,ПАВЛІВСЬКА/С.ПАВЛІВКА
6522183001,С,ПАВЛІВКА
6522183500,,ПЕТРІВСЬКА/С.ПЕТРІВКА
6522183501,С,ПЕТРІВКА
6522183700,,ПРИВІЛЬНЕНСЬКА/С-ЩЕ ПРИВІЛЬНЕ
6522183701,Щ,ПРИВІЛЬНЕ
6522183702,С,ВЕЛЕТНІВКА
6522183703,Щ,НОГАЙСЬКЕ
6522183704,Щ,ТАВРІЙСЬКЕ
6522184000,,РІВНЕНСЬКА/С.РІВНЕ
6522184001,С,РІВНЕ
6522184002,С,ВІКТОРІВКА
6522184003,С,ВОЛОДИМИРІВКА
6522184004,С,ЗАПОРОЖЕЦЬ
6522184005,Щ,КОМУНАРСЬКЕ
6522184006,С,МАЛИНІВКА
6522184008,С,МУРАВЕЙНИК
6522184009,С,НОВИЙ МИР
6522184010,С,СЕРГІЇВКА
6522184012,С,ГОРДІЄНКІВЦІ
6522184500,,СОКОЛОГІРНЕНСЬКА/С.СОКОЛОГІРНЕ
6522184501,С,СОКОЛОГІРНЕ
6522184504,С,ВИНОГРАДНИЙ КЛИН
6522184505,С,МАКШІЇВКА
6522184506,С,НОВОЄФРЕМІВКА
6522185000,,СТОКОПАНІВСЬКА/С.СТОКОПАНІ
6522185001,С,СТОКОПАНІ
6522185002,С,ДРАГОМАНОВЕ
6522185004,С,НОВА ПРАЦЯ
6522185200,,СТРІЛКІВСЬКА/С.СТРІЛКОВЕ
6522185201,С,СТРІЛКОВЕ
6522186500,,ЩАСЛИВЦІВСЬКА/С.ЩАСЛИВЦЕВЕ
6522186501,С,ЩАСЛИВЦЕВЕ
6522186502,С,ГЕНІЧЕСЬКА ГІРКА
6522186503,Щ,ПРИОЗЕРНЕ
6522187000,,ФРУНЗЕНСЬКА/С.АЗОВСЬКЕ
6522187001,С,АЗОВСЬКЕ
6522187002,С,ПРИДОРОЖНЄ
6522187500,,ЧЕРВОНСЬКА/С.ЧЕРВОНЕ
6522187501,С,ЧЕРВОНЕ
6522187503,С,САЛЬКОВЕ
6522187504,С,СЕМИХАТКА
6522187505,С,ЯСНА ПОЛЯНА
6522188000,,ЧОНГАРСЬКА/С.ЧОНГАР
6522188001,С,ЧОНГАР
6522188002,С,АТАМАНЬ
6522188003,Щ,ЗАЛІЗНИЧНЕ
6522188005,С,МИКОЛАЇВКА
6522188006,С,НОВИЙ ТРУД
6522188007,С,ПОПІВКА
6522188008,Щ,СИВАШ
6522188009,С,ЧЕРНІГІВКА
6522188500,,ЩОРСІВСЬКА/С.ОЛЕКСІЇВКА
6522188501,С,ОЛЕКСІЇВКА
6522188502,С,БОЙОВЕ
6522188503,С,ЯРОШИК
6522300000,,ГОЛОПРИСТАНСЬКИЙ РАЙОН/М.ГОЛА ПРИСТАНЬ
6522380000,,СІЛЬРАДИ ГОЛОПРИСТАНСЬКОГО Р-НУ
6522380200,,ОЛЕКСІЇВСЬКА/С.ОЛЕКСІІВКА
6522380201,С,ОЛЕКСІЇВКА
6522380500,,БЕХТЕРСЬКА/С.БЕХТЕРИ
6522380501,С,БЕХТЕРИ
6522380502,С,НОВОЧОРНОМОР'Я
6522381000,,ВЕЛИКОКАРДАШИНСЬКА/С.ВЕЛИКА КАРДАШИНКА
6522381001,С,ВЕЛИКА КАРДАШИНКА
6522381002,С,КАРДАШИНКА
6522381003,С,КОХАНИ
6522381004,С,МАЛА КАРДАШИНКА
6522381500,,ГЕРОЙСЬКА/С.ГЕРОЙСЬКЕ
6522381501,С,ГЕРОЙСЬКЕ
6522382000,,ГЛАДКІВСЬКА/С.ГЛАДКІВКА
6522382001,С,ГЛАДКІВКА
6522382003,С,РІДНА УКРАЇНА
6522382500,,ДОБРОПІЛЬСЬКА/С.ДОБРОПІЛЛЯ
6522382501,С,ДОБРОПІЛЛЯ
6522382502,Щ,СВІТАНОК
6522382503,С,КИЇВКА
6522382504,Щ,НОВОСЕЛІВКА
6522383000,,ДОЛМАТІВСЬКА/С.ДОЛМАТІВКА
6522383001,С,ДОЛМАТІВКА
6522383200,,ЗБУР'ЇВСЬКА/С.ЗБУР'ЇВКА
6522383201,С,ЗБУР'ЇВКА
6522383202,С,БЕРЕГОВЕ
6522383203,С,ТЕНДРІВСЬКЕ
6522383204,С,ОБЛОЇ
6522383400,,ОЛЕКСАНДРІВСЬКА/С.ОЛЕКСАНДРІВКА
6522383401,С,ОЛЕКСАНДРІВКА
6522383402,С,ВІЛЬНА УКРАЇНА
6522383403,С,ОЧАКІВСЬКЕ
6522383500,,КРУГЛООЗЕРСЬКА/С.КРУГЛООЗЕРКА
6522383501,С,КРУГЛООЗЕРКА
6522383502,С,ПРИМОРСЬКЕ
6522383800,,МАЛОКОПАНІВСЬКА/С.МАЛІ КОПАНІ
6522383801,С,МАЛІ КОПАНІ
6522383802,С,БУРКУТИ
6522383900,,НОВОВОЛОДИМИРІВСЬКА/С.НОВОВОЛОДИМИРІВКА
6522383901,С,НОВОВОЛОДИМИРІВКА
6522383902,С,ЗЕЛЕНОТРОПИНСЬКЕ
6522383903,С,СЛІПУШИНСЬКЕ
6522384000,,НОВОЗБУР'ЇВСЬКА/С.НОВА ЗБУР'ЇВКА
6522384001,С,НОВА ЗБУР'ЇВКА
6522384200,,НОВОСОФІЇВСЬКА/С.НОВОСОФІЇВКА
6522384201,С,НОВОСОФІЇВКА
6522384202,С,КАЛИНІВКА
6522384203,С,ПЕТРІВКА
6522384300,,НОВОФЕДОРІВСЬКА/С.НОВОФЕДОРІВКА
6522384301,С,НОВОФЕДОРІВКА
6522384302,С,ЗАЛІЗНИЙ ПОРТ
6522384500,,РИБАЛЬЧЕНСЬКА/С.РИБАЛЬЧЕ
6522384501,С,РИБАЛЬЧЕ
6522384502,Щ,ВИНОГРАДНЕ
6522384503,С,ЗАБАРИНЕ
6522385000,,САДІВСЬКА/С-ЩЕ САДОВЕ
6522385001,Щ,САДОВЕ
6522385002,Щ,ВІЛЬНА ДРУЖИНА
6522385003,С,ІВАНІВКА
6522385004,С,БРАТСЬКЕ
6522385005,С,ПАМ'ЯТНЕ
6522385300,,СТАРОЗБУР'ЇВСЬКА/С.СТАРА ЗБУР'ЇВКА
6522385301,С,СТАРА ЗБУР'ЇВКА
6522385400,,ТАВРІЙСЬКА/С.ТАВРІЙСЬКЕ
6522385401,С,ТАВРІЙСЬКЕ
6522385403,С,ВЕЛИКИЙ КЛИН
6522385500,,ЧОРНОМОРСЬКА/С-ЩЕ ЧОРНОМОРСЬКЕ
6522385501,Щ,ЧОРНОМОРСЬКЕ
6522385502,С,ЛИМАНІВКА
6522385503,С,СУВОРОВКА
6522385504,С,ЧОРНОМОРСЬКІ КРИНИЦІ
6522386000,,ЧУЛАКІВСЬКА/С.ЧУЛАКІВКА
6522386001,С,ЧУЛАКІВКА
6522600000,,ГОРНОСТАЇВСЬКИЙ РАЙОН/СМТ ГОРНОСТАЇВКА
6522655000,,СЕЛИЩА МІСЬКОГО ТИПУ ГОРНОСТАЇВСЬКОГО Р-НУ
6522655100,Т,ГОРНОСТАЇВКА
6522655101,С,ЗЕЛЕНИЙ ПОД
6522680000,,СІЛЬРАДИ ГОРНОСТАЇВСЬКОГО Р-НУ
6522680300,,АНТОНІВСЬКА/С.АНТОНІВКА
6522680301,С,АНТОНІВКА
6522680303,С,ЗІРКА
6522680500,,ВЕЛИКОБЛАГОВІЩЕНСЬКА/С.ВЕЛИКА БЛАГОВІЩЕНКА
6522680501,С,ВЕЛИКА БЛАГОВІЩЕНКА
6522680502,С,ВАСИЛІВКА
6522680503,С,НОВОЄЛИЗАВЕТІВКА
6522681000,,ДУБІВСЬКА/С.ДУБІВКА
6522681001,С,ДУБІВКА
6522681002,С,ЗАПОРІЗЬКЕ
6522681500,,ЗАВОДІВСЬКА/С.ЗАВОДІВКА
6522681501,С,ЗАВОДІВКА
6522682000,,КОЗАЧЕ-ЛАГЕРСЬКА/С.КОЗАЧІ ЛАГЕРІ
6522682001,С,КОЗАЧІ ЛАГЕРІ
6522682002,С,НОВІ ОЛЕШКИ
6522682500,,КАЇРСЬКА/С.КАЇРИ
6522682501,С,КАЇРИ
6522683000,,КОСТЯНТИНІВСЬКА/С.КОСТЯНТИНІВКА
6522683001,С,КОСТЯНТИНІВКА
6522683002,С,БРАТОЛЮБІВКА
6522683003,С,МИКОЛАЇВКА
6522683300,,МАРИНСЬКА/С.МАРИНСЬКЕ
6522683301,С,МАРИНСЬКЕ
6522683303,С,ВІЛЬНЕ
6522683500,,ОЛЬГИНСЬКА/С.ОЛЬГИНЕ
6522683501,С,ОЛЬГИНЕ
6522683502,С,КОЧУБЕЇВКА
6522684000,,СЛАВНЕНСЬКА/С.СЛАВНЕ
6522684001,С,СЛАВНЕ
6522684003,С,НОВА БЛАГОВІЩЕНКА
6522684004,С,СОФІЇВКА
6522684500,,ЧЕРВОНОБЛАГОДАТНЕНСЬКА/С.ЧЕРВОНОБЛАГОДАТНЕ
6522684501,С,ЧЕРВОНОБЛАГОДАТНЕ
6522684502,С,КРАСНЕ
6522684503,С,ЛОПАТКИ
6522684504,С,ЯСНА ПОЛЯНА
