"TE","NP","NU","NR"
"7125786001","С","НЕЧАЄВЕ","НЕЧАЕВО"
"7125786200",,"СЕРДЕГІВСЬКА/С.СЕРДЕГІВКА","СЕРДЕГОВСКИЙ/С.СЕРДЕГОВКА"
"7125786201","С","СЕРДЕГІВКА","СЕРДЕГОВКА"
"7125786400",,"СИГНАЇВСЬКА/С.СИГНАЇВКА","СИГНАЕВСКИЙ/С.СИГНАЕВКА"
"7125786401","С","СИГНАЇВКА","СИГНАЕВКА"
"7125786800",,"СКОТАРІВСЬКА/С.СКОТАРЕВЕ","СКОТАРЕВСКИЙ/С.СКОТАРЕВО"
"7125786801","С","СКОТАРЕВЕ","СКОТАРЕВО"
"7125787200",,"СОБОЛІВСЬКА/С.СОБОЛІВКА","СОБОЛЕВСКИЙ/С.СОБОЛЕВКА"
"7125787201","С","СОБОЛІВКА","СОБОЛЕВКА"
"7125787600",,"СТАНІСЛАВЧИЦЬКА/С.СТАНІСЛАВЧИК","СТАНИСЛАВЧИКСКИЙ/С.СТАНИСЛАВЧИК"
"7125787601","С","СТАНІСЛАВЧИК","СТАНИСЛАВЧИК"
"7125788000",,"ТЕРЕШКІВСЬКА/С.ТЕРЕШКИ","ТЕРЕШКОВСКИЙ/С.ТЕРЕШКИ"
"7125788001","С","ТЕРЕШКИ","ТЕРЕШКИ"
"7125788003","Щ","ХОВКІВКА","ХОВКОВКА"
"7125788400",,"ТОВМАЦЬКА/С.ТОВМАЧ","ТОВМАЧСКИЙ/С.ТОВМАЧ"
"7125788401","С","ТОВМАЧ","ТОВМАЧ"
"7125788800",,"ТОПИЛЬНЯНСЬКА/С.ТОПИЛЬНА","ТОПИЛЬНЯНСКИЙ/С.ТОПИЛЬНА"
"7125788801","С","ТОПИЛЬНА","ТОПИЛЬНА"
"7125789200",,"ЯРОСЛАВСЬКА/С.ЯРОСЛАВКА","ЯРОСЛАВСКИЙ/С.ЯРОСЛАВКА"
"7125789201","С","ЯРОСЛАВКА","ЯРОСЛАВКА"
"7125789202","С","НОВА ЯРОСЛАВКА","НОВАЯ ЯРОСЛАВКА"
"7300000000",,"ЧЕРНІВЕЦЬКА ОБЛАСТЬ/М.ЧЕРНІВЦІ","ЧЕРНОВИЦКАЯ ОБЛАСТЬ/Г.ЧЕРНОВЦЫ"
"7310000000",,"МІСТА ОБЛАСНОГО ПІДПОРЯДКУВАННЯ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ","ГОРОДА ОБЛАСТНОГО ПОДЧИНЕНИЯ ЧЕРНОВИЦКОЙ ОБЛАСТИ"
"7310100000","М","ЧЕРНІВЦІ","ЧЕРНОВЦЫ"
"7310600000","М","НОВОДНІСТРОВСЬК","НОВОДНЕСТРОВСК"
"7320000000",,"РАЙОНИ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ","РАЙОНЫ ЧЕРНОВИЦКОЙ ОБЛАСТИ"
"7320500000",,"ВИЖНИЦЬКИЙ РАЙОН/М.ВИЖНИЦЯ","ВИЖНИЦКИЙ РАЙОН/Г.ВИЖНИЦА"
"7320510000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ВИЖНИЦЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ ВИЖНИЦКОГО Р-НА"
"7320510100","М","ВИЖНИЦЯ","ВИЖНИЦА"
"7320510400","М","ВАШКІВЦІ","ВАШКОВЦЫ"
"7320510401","С","ВОЛОКА","ВОЛОКА"
"7320555000",,"СЕЛИЩА МІСЬКОГО ТИПУ ВИЖНИЦЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ВИЖНИЦКОГО Р-НА"
"7320555300","Т","БЕРЕГОМЕТ","БЕРЕГОМЕТ"
"7320555301","С","ЗАРІЧЧЯ","ЗАРЕЧЬЕ"
"7320580000",,"СІЛЬРАДИ ВИЖНИЦЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ВИЖНИЦКОГО Р-НА"
"7320580300",,"БАГНЯНСЬКА/С.БАГНА","БАГНЯНСКИЙ/С.БАГНА"
"7320580301","С","БАГНА","БАГНА"
"7320580500",,"БАНИЛІВСЬКА/С.БАНИЛІВ","БАНИЛОВСКИЙ/С.БАНИЛОВ"
"7320580501","С","БАНИЛІВ","БАНИЛОВ"
"7320580502","С","БЕРЕЖНИЦЯ","БЕРЕЖНИЦА"
"7320581000",,"ВИЖЕНСЬКА/С.ВИЖЕНКА","ВИЖЕНСКИЙ/С.ВИЖЕНКА"
"7320581001","С","ВИЖЕНКА","ВИЖЕНКА"
"7320581500",,"ДОЛІШНЬОШЕПІТСЬКА/С.ДОЛІШНІЙ ШЕПІТ","ДОЛИШНЕШЕПОТСКИЙ/С.ДОЛИШНИЙ ШЕПОТ"
"7320581501","С","ДОЛІШНІЙ ШЕПІТ","ДОЛИШНИЙ ШЕПОТ"
"7320581502","С","ЛЕКЕЧІ","ЛЕКЕЧИ"
"7320581503","С","ЛОПУШНА","ЛОПУШНА"
"7320581504","С","ФАЛЬКІВ","ФАЛЬКОВ"
"7320582000",,"ЗАМОСТЯНСЬКА/С.ЗАМОСТЯ","ЗАМОСТЯНСКИЙ/С.ЗАМОСТЬЕ"
"7320582001","С","ЗАМОСТЯ","ЗАМОСТЬЕ"
"7320582500",,"ІСПАСЬКА/С.ІСПАС","ИСПАССКИЙ/С.ИСПАС"
"7320582501","С","ІСПАС","ИСПАС"
"7320582502","С","МАЙДАН","МАЙДАН"
"7320583000",,"КАРАПЧІВСЬКА/С.КАРАПЧІВ","КАРАПЧОВСКИЙ/С.КАРАПЧОВ"
"7320583001","С","КАРАПЧІВ","КАРАПЧОВ"
"7320583002","С","БАБИНЕ","БАБИНО"
"7320583004","С","ВАЛИ","ВАЛЫ"
"7320583500",,"КОРИТНЕНСЬКА/С.КОРИТНЕ","КОРЫТНЕНСКИЙ/С.КОРЫТНОЕ"
"7320583501","С","КОРИТНЕ","КОРЫТНОЕ"
"7320583502","С","БЕРЕЖОНКА","БЕРЕЖОНКА"
"7320584000",,"ЛУКАВЕЦЬКА/С.ЛУКАВЦІ","ЛУКАВЕЦКИЙ/С.ЛУКАВЦЫ"
"7320584001","С","ЛУКАВЦІ","ЛУКАВЦЫ"
"7320584002","С","ВАХНІВЦІ","ВАХНОВЦЫ"
"7320584003","С","ВОВЧИНЕЦЬ","ВОЛЧИНЕЦ"
"7320584004","С","ЛИПОВАНИ","ЛИПОВАНЫ"
"7320584005","С","МАЙДАН","МАЙДАН"
"7320584500",,"МІЛІЇВСЬКА/С.МІЛІЄВЕ","МИЛИЕВСКИЙ/С.МИЛИЕВО"
"7320584501","С","МІЛІЄВЕ","МИЛИЕВО"
"7320584502","С","КИБАКИ","КИБАКИ"
"7320584503","С","СЕРЕДНІЙ МАЙДАН","СРЕДНИЙ МАЙДАН"
"7320585000",,"МИГІВСЬКА/С.МИГОВЕ","МИГОВСКИЙ/С.МИГОВО"
"7320585001","С","МИГОВЕ","МИГОВО"
"7320585002","С","ВЕЛИКЕ","ВЕЛИКОЕ"
"7320585300",,"СЛОБОДО-БАНИЛІВСЬКА/С.СЛОБОДА-БАНИЛІВ","СЛОБОДА-БАНИЛОВСКИЙ/С.СЛОБОДА-БАНИЛОВ"
"7320585301","С","СЛОБОДА-БАНИЛІВ","СЛОБОДА-БАНИЛОВ"
"7320585500",,"ЧЕРЕШЕНСЬКА/С.ЧЕРЕШЕНЬКА","ЧЕРЕШЕНСКИЙ/С.ЧЕРЕШЕНКА"
"7320585501","С","ЧЕРЕШЕНЬКА","ЧЕРЕШЕНКА"
"7320586000",,"ЧОРНОГУЗІВСЬКА/С.ЧОРНОГУЗИ","ЧЕРНОГУЗОВСКИЙ/С.ЧЕРНОГУЗЫ"
"7320586001","С","ЧОРНОГУЗИ","ЧЕРНОГУЗЫ"
"7320700000",,"ГЕРЦАЇВСЬКИЙ РАЙОН/М.ГЕРЦА","ГЕРЦАЕВСКИЙ РАЙОН/Г.ГЕРЦА"
"7320710000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ГЕРЦАЇВСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ ГЕРЦАЕВСКОГО Р-НА"
"7320710100","М","ГЕРЦА","ГЕРЦА"
"7320780000",,"СІЛЬРАДИ ГЕРЦАЇВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ГЕРЦАЕВСКОГО Р-НА"
"7320780300",,"БАЙРАКІВСЬКА/С.БАЙРАКИ","БАЙРАКОВСКИЙ/С.БАЙРАКИ"
"7320780301","С","БАЙРАКИ","БАЙРАКИ"
"7320780303","С","ПІДВАЛЬНЕ","ПОДВАЛЬНОЕ"
"7320780600",,"БУКІВСЬКА/С.БУКІВКА","БУКОВСКИЙ/С.БУКОВКА"
"7320780601","С","БУКІВКА","БУКОВКА"
"7320780800",,"ВЕЛИКОБУДСЬКА/С.ВЕЛИКА БУДА","ВЕЛИКОБУДСКИЙ/С.ВЕЛИКАЯ БУДА"
"7320780801","С","ВЕЛИКА БУДА","ВЕЛИКАЯ БУДА"
"7320780802","С","МАЛА БУДА","МАЛАЯ БУДА"
"7320780803","С","КРУП'ЯНСЬКЕ","КРУПЯНСКОЕ"
"7320781100",,"ГОДИНІВСЬКА/С.ГОДИНІВКА","ГОДЫНОВСКИЙ/С.ГОДЫНОВКА"
"7320781101","С","ГОДИНІВКА","ГОДЫНОВКА"
"7320781102","С","ЛУКОВИЦЯ","ЛУКОВИЦА"
"7320781300",,"ГОРБІВСЬКА/С.ГОРБОВА","ГОРБОВСКИЙ/С.ГОРБОВА"
"7320781301","С","ГОРБОВА","ГОРБОВА"
"7320781302","С","БАНЧЕНИ","БАНЧЕНЫ"
"7320782500",,"КУЛИКІВСЬКА/С.КУЛИКІВКА","КУЛИКОВСКИЙ/С.КУЛИКОВКА"
"7320782501","С","КУЛИКІВКА","КУЛИКОВКА"
"7320783000",,"ЛУНКІВСЬКА/С.ЛУНКА","ЛУНКОВСКИЙ/С.ЛУНКА"
"7320783001","С","ЛУНКА","ЛУНКА"
"7320783002","С","ВЕЛИКОСІЛЛЯ","ВЕЛИКОСЕЛЬЕ"
"7320783003","С","МОГИЛІВКА","МОГИЛЕВКА"
"7320783500",,"МОЛНИЦЬКА/С.МОЛНИЦЯ","МОЛНИЦКИЙ/С.МОЛНИЦА"
"7320783501","С","МОЛНИЦЯ","МОЛНИЦА"
"7320784000",,"ОСТРИЦЬКА/С.ОСТРИЦЯ","ОСТРИЦКИЙ/С.ОСТРИЦА"
"7320784001","С","ОСТРИЦЯ","ОСТРИЦА"
"7320784400",,"ПЕТРАШІВСЬКА/С.ПЕТРАШІВКА","ПЕТРАШОВСКИЙ/С.ПЕТРАШОВКА"
"7320784401","С","ПЕТРАШІВКА","ПЕТРАШОВКА"
"7320785000",,"ТЕРНАВСЬКА/С.ТЕРНАВКА","ТЕРНАВСКИЙ/С.ТЕРНАВКА"
"7320785001","С","ТЕРНАВКА","ТЕРНАВКА"
"7320785002","С","ДЯКІВЦІ","ДЯКОВЦЫ"
"7320786000",,"ХРЯЦЬКІВСЬКА/С.ХРЯЦЬКА","ХРЯЦКОВСКИЙ/С.ХРЯЦКА"
"7320786001","С","ХРЯЦЬКА","ХРЯЦКА"
"7320786200",,"ЦУРЕНСЬКА/С.ЦУРЕНЬ","ЦУРЕНСКИЙ/С.ЦУРЕНЬ"
"7320786201","С","ЦУРЕНЬ","ЦУРЕНЬ"
"7320786205","С","МАМОРНИЦЯ","МАМОРНИЦА"
"7320786207","С","МАМОРНИЦЯ ВАМА","МАМОРНИЦЯ ВАМА"
"7321000000",,"ГЛИБОЦЬКИЙ РАЙОН/СМТ ГЛИБОКА","ГЛЫБОКСКИЙ РАЙОН/ПГТ ГЛЫБОКАЯ"
"7321055000",,"СЕЛИЩА МІСЬКОГО ТИПУ ГЛИБОЦЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ГЛЫБОКСКОГО Р-НА"
"7321055100","Т","ГЛИБОКА","ГЛЫБОКАЯ"
"7321080000",,"СІЛЬРАДИ ГЛИБОЦЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ГЛЫБОКСКОГО Р-НА"
"7321080100",,"БАГРИНІВСЬКА/С.БАГРИНІВКА","БАГРИНОВСКИЙ/С.БАГРИНОВКА"
"7321080101","С","БАГРИНІВКА","БАГРИНОВКА"
"7321080500",,"ВАЛЯ-КУЗЬМИНСЬКА/С.ВАЛЯ КУЗЬМИНА","ВАЛЯ-КУЗЬМИНСКИЙ/С.ВАЛЯ КУЗЬМИНА"
"7321080501","С","ВАЛЯ КУЗЬМИНА","ВАЛЯ КУЗЬМИНА"
"7321080900",,"ВОЛОКІВСЬКА/С.ВОЛОКА","ВОЛОКОВСКИЙ/С.ВОЛОКА"
"7321080901","С","ВОЛОКА","ВОЛОКА"
"7321080902","С","ГРУШІВКА","ГРУШЕВКА"
"7321081800",,"ОПРИШЕНСЬКА/С.ОПРИШЕНИ","ОПРИШЕНСКИЙ/С.ОПРИШЕНЫ"
"7321081801","С","ОПРИШЕНИ","ОПРЫШЕНЫ"
"7321081802","С","СЛОБІДКА","СЛОБОДКА"
"7321081900",,"ДИМКІВСЬКА/С.ДИМКА","ДЫМКОВСКИЙ/С.ДЫМКА"
"7321081901","С","ДИМКА","ДЫМКА"
"7321082000",,"ЙОРДАНЕШТСЬКА/С.ЙОРДАНЕШТИ","ИОРДАНЕШТСКИЙ/С.ИОРДАНЕШТЫ"
"7321082001","С","ЙОРДАНЕШТИ","ИОРДАНЕШТЫ"
"7321082100",,"КАМ'ЯНСЬКА/С.КАМ'ЯНКА","КАМЕНСКИЙ/С.КАМЕНКА"
"7321082101","С","КАМ'ЯНКА","КАМЕНКА"
"7321082400",,"КАРАПЧІВСЬКА/С.КАРАПЧІВ","КАРАПЧОВСКИЙ/С.КАРАПЧОВ"
"7321082401","С","КАРАПЧІВ","КАРАПЧОВ"
"7321082700",,"КОРОВІЙСЬКА/С.КОРОВІЯ","КОРОВИЙСКИЙ/С.КОРОВИЯ"
"7321082701","С","КОРОВІЯ","КОРОВИЯ"
"7321083000",,"КОРЧОВЕЦЬКА/С.КОРЧІВЦІ","КОРЧЕВЕЦКИЙ/С.КОРЧЕВЦЫ"
"7321083001","С","КОРЧІВЦІ","КОРЧЕВЦЫ"
"7321083300",,"КУПСЬКА/С.КУПКА","КУПСКИЙ/С.КУПКА"
"7321083301","С","КУПКА","КУПКА"
"7321083600",,"ЛУКОВИЦЬКА/С.ЛУКОВИЦЯ","ЛУКОВИЦКИЙ/С.ЛУКОВИЦА"
"7321083601","С","ЛУКОВИЦЯ","ЛУКОВИЦА"
"7321083602","С","КУТ","КУТ"
"7321084200",,"МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА","МИХАЙЛОВСКИЙ/С.МИХАЙЛОВКА"
"7321084201","С","МИХАЙЛІВКА","МИХАЙЛОВКА"
"7321084202","С","ЧЕРВОНА ДІБРОВА","ЧЕРВОНАЯ ДИБРОВА"
"7321084800",,"МОЛОДІЙСЬКА/С.МОЛОДІЯ","МОЛОДИЙСКИЙ/С.МОЛОДИЯ"
"7321084801","С","МОЛОДІЯ","МОЛОДИЯ"
"7321085400",,"ТЕРЕБЛЕЧЕНСЬКА/С.ТЕРЕБЛЕЧЕ","ТЕРЕБЛЕЧЕНСКИЙ/С.ТЕРЕБЛЕЧЕ"
"7321085401","С","ТЕРЕБЛЕЧЕ","ТЕРЕБЛЕЧЕ"
"7321085402","С","ГОРБІВЦІ","ГОРБОВЦЫ"
"7321085700",,"СИНЬОВЕЦЬКА/С.ВЕРХНІ СИНІВЦІ","СИНЕВЕЦКИЙ/С.ВЕРХНИЕ СИНЕВЦЫ"
"7321085701","С","ВЕРХНІ СИНІВЦІ","ВЕРХНИЕ СИНЕВЦЫ"
"7321085702","С","НИЖНІ СИНІВЦІ","НИЖНИЕ СИНЕВЦЫ"
"7321086000",,"СТАНОВЕЦЬКА/С.СТАНІВЦІ","СТАНОВЕЦКИЙ/С.СТАНОВЦЫ"
"7321086001","С","СТАНІВЦІ","СТАНОВЦЫ"
"7321086300",,"СТАРОВОВЧИНЕЦЬКА/С.СТАРИЙ ВОВЧИНЕЦЬ","СТАРОВОЛЧИНЕЦКИЙ/С.СТАРЫЙ ВОЛЧИНЕЦ"
"7321086301","С","СТАРИЙ ВОВЧИНЕЦЬ","СТАРЫЙ ВОЛЧИНЕЦ"
"7321086303","С","БІЛА КРИНИЦЯ","БЕЛАЯ КРИНИЦА"
"7321086400",,"СТЕРЧЕНСЬКА/С.СТЕРЧЕ","СТЕРЧЕНСКИЙ/С.СТЕРЧЕ"
"7321086401","С","СТЕРЧЕ","СТЕРЧЕ"
"7321086700",,"ТАРАШАНСЬКА/С.ТАРАШАНИ","ТАРАШАНСКИЙ/С.ТАРАШАНЫ"
"7321086701","С","ТАРАШАНИ","ТАРАШАНЫ"
"7321086702","С","ПРИВОРОКИ","ПРИВОРОКИ"
"7321087400",,"ТУРЯТСЬКА/С.ТУРЯТКА","ТУРЯТСКИЙ/С.ТУРЯТКА"
"7321087401","С","ТУРЯТКА","ТУРЯТКА"
"7321087404","С","ПОЛЯНА","ПОЛЯНА"
"7321087900",,"ЧАГОРСЬКА/С.ЧАГОР","ЧАГОРСКИЙ/С.ЧАГОР"
"7321087901","С","ЧАГОР","ЧАГОР"
"7321088200",,"ЧЕРЕПКОВЕЦЬКА/С.ЧЕРЕПКІВЦІ","ЧЕРЕПКОВЕЦКИЙ/С.ЧЕРЕПКОВЦЫ"
"7321088201","С","ЧЕРЕПКІВЦІ","ЧЕРЕПКОВЦЫ"
"7321088202","С","НОВИЙ ВОВЧИНЕЦЬ","НОВЫЙ ВОЛЧИНЕЦ"
"7321088500",,"СУЧЕВЕНСЬКА/С.СУЧЕВЕНИ","СУЧЕВЕНСКИЙ/С.СУЧЕВЕНЫ"
"7321088501","С","СУЧЕВЕНИ","СУЧЕВЕНЫ"
"7321088502","С","ПЕТРИЧАНКА","ПЕТРИЧАНКА"
"7321088503","С","ПРОСІКА","ПРОСЕКА"
"7321088504","С","ПРОСИКУРЯНИ","ПРОСИКУРЯНЫ"
"7321500000",,"ЗАСТАВНІВСЬКИЙ РАЙОН/М.ЗАСТАВНА","ЗАСТАВНОВСКИЙ РАЙОН/Г.ЗАСТАВНА"
"7321510000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ЗАСТАВНІВСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ ЗАСТАВНОВСКОГО Р-НА"
"7321510100","М","ЗАСТАВНА","ЗАСТАВНА"
"7321555000",,"СЕЛИЩА МІСЬКОГО ТИПУ ЗАСТАВНІВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ЗАСТАВНОВСКОГО Р-НА"
"7321555400","Т","КОСТРИЖІВКА","КОСТРИЖЕВКА"
"7321580000",,"СІЛЬРАДИ ЗАСТАВНІВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ЗАСТАВНОВСКОГО Р-НА"
"7321580400",,"БАБИНСЬКА/С.БАБИН","БАБИНСКИЙ/С.БАБИН"
"7321580401","С","БАБИН","БАБИН"
"7321580402","С","ВИМУШІВ","ВЫМУШЕВ"
"7321580403","С","РУДКА","РУДКА"
"7321580700",,"БАЛАМУТІВСЬКА/С.БАЛАМУТІВКА","БАЛАМУТОВСКИЙ/С.БАЛАМУТОВКА"
"7321580701","С","БАЛАМУТІВКА","БАЛАМУТОВКА"
"7321581000",,"БОЯНЧУЦЬКА/С.БОЯНЧУК","БОЯНЧУКСКИЙ/С.БОЯНЧУК"
"7321581001","С","БОЯНЧУК","БОЯНЧУК"
"7321581500",,"БРІДОЦЬКА/С.БРІДОК","БРОДОКСКИЙ/С.БРОДОК"
"7321581501","С","БРІДОК","БРОДОК"
"7321581900",,"ВАСИЛІВСЬКА/С.ВАСИЛІВ","ВАСИЛЕВСКИЙ/С.ВАСИЛЕВ"
"7321581901","С","ВАСИЛІВ","ВАСИЛЕВ"
"7321582200",,"ВАСЛОВІВСЬКА/С.ВАСЛОВІВЦІ","ВАСЛОВОВСКИЙ/С.ВАСЛОВОВЦЫ"
"7321582201","С","ВАСЛОВІВЦІ","ВАСЛОВОВЦЫ"
"7321582800",,"ВЕРБОВЕЦЬКА/С.ВЕРБІВЦІ","ВЕРБОВЕЦКИЙ/С.ВЕРБОВЦЫ"
"7321582801","С","ВЕРБІВЦІ","ВЕРБОВЦЫ"
"7321582900",,"ВЕРЕНЧАНСЬКА/С.ВЕРЕНЧАНКА","ВЕРЕНЧАНСКИЙ/С.ВЕРЕНЧАНКА"
"7321582901","С","ВЕРЕНЧАНКА","ВЕРЕНЧАНКА"
"7321582902","С","ЯБЛУНІВКА","ЯБЛОНОВКА"
"7321583300",,"ГОРІШНЬОШЕРОВЕЦЬКА/С.ГОРІШНІ ШЕРІВЦІ","ГОРИШНЕШЕРОВЕЦКИЙ/С.ГОРИШНИЕ ШЕРОВЦЫ"
"7321583301","С","ГОРІШНІ ШЕРІВЦІ","ГОРИШНИЕ ШЕРОВЦЫ"
"7321583600",,"ГОРОШОВЕЦЬКА/С.ГОРОШІВЦІ","ГОРОШОВЕЦКИЙ/С.ГОРОШОВЦЫ"
"7321583601","С","ГОРОШІВЦІ","ГОРОШОВЦЫ"
"7321584000",,"ДОБРИНОВЕЦЬКА/С.ДОБРИНІВЦІ","ДОБРИНОВЕЦКИЙ/С.ДОБРИНОВЦЫ"
"7321584001","С","ДОБРИНІВЦІ","ДОБРИНОВЦЫ"
"7321584400",,"ДОРОШОВЕЦЬКА/С.ДОРОШІВЦІ","ДОРОШОВЕЦКИЙ/С.ДОРОШОВЦЫ"
"7321584401","С","ДОРОШІВЦІ","ДОРОШОВЦЫ"
"7321584700",,"ЗАДУБРІВСЬКА/С.ЗАДУБРІВКА","ЗАДУБРОВСКИЙ/С.ЗАДУБРОВКА"
"7321584701","С","ЗАДУБРІВКА","ЗАДУБРОВКА"
"7321584900",,"ЗВЕНЯЧИНСЬКА/С.ЗВЕНЯЧИН","ЗВЕНЯЧИНСКИЙ/С.ЗВЕНЯЧИН"
"7321584901","С","ЗВЕНЯЧИН","ЗВЕНЯЧИН"
"7321584902","С","ЙОСИПІВКА","ЙОСИПОВКА"
"7321585200",,"КАДУБОВЕЦЬКА/С.КАДУБІВЦІ","КАДУБОВЕЦКИЙ/С.КАДУБОВЦЫ"
"7321585201","С","КАДУБІВЦІ","КАДУБОВЦЫ"
"7321585400",,"ХРЕЩАТИЦЬКА/С.ХРЕЩАТИК","КРЕЩАТИКСКИЙ/С.КРЕЩАТИК"
"7321585401","С","ХРЕЩАТИК","КРЕЩАТИК"
"7321585500",,"КУЛІВЕЦЬКА/С.КУЛІВЦІ","КУЛЕВЕЦКИЙ/С.КУЛЕВЦЫ"
"7321585501","С","КУЛІВЦІ","КУЛЕВЦЫ"
"7321585600",,"МАЛОКУЧУРІВСЬКА/С.МАЛИЙ КУЧУРІВ","МАЛОКУЧУРОВСКИЙ/С.МАЛЫЙ КУЧУРОВ"
"7321585601","С","МАЛИЙ КУЧУРІВ","МАЛЫЙ КУЧУРОВ"
"7321585800",,"МОСОРІВСЬКА/С.МОСОРІВКА","МОСОРОВСКИЙ/С.МОСОРОВКА"
"7321585801","С","МОСОРІВКА","МОСОРОВКА"
"7321585900",,"МИТКІВСЬКА/С.МИТКІВ","МЫТКОВСКИЙ/С.МЫТКОВ"
"7321585901","С","МИТКІВ","МЫТКОВ"
"7321586000",,"ВІКНЯНСЬКА/С.ВІКНО","ОКНЯНСКИЙ/С.ОКНО"
"7321586001","С","ВІКНО","ОКНО"
"7321586400",,"ОНУТСЬКА/С.ОНУТ","ОНУТСКИЙ/С.ОНУТ"
"7321586401","С","ОНУТ","ОНУТ"
"7321586800",,"ПОГОРІЛІВСЬКА/С.ПОГОРІЛІВКА","ПОГОРЕЛОВСКИЙ/С.ПОГОРЕЛОВКА"
"7321586801","С","ПОГОРІЛІВКА","ПОГОРЕЛОВКА"
"7321587200",,"ПРИЛИПЧЕНСЬКА/С.ПРИЛИПЧЕ","ПРИЛИПЧЕНСКИЙ/С.ПРИЛИПЧЕ"
"7321587201","С","ПРИЛИПЧЕ","ПРИЛИПЧЕ"
"7321587202","С","СТЕПАНІВКА","СТЕПАНОВКА"
"7321587600",,"РЕПУЖИНЕЦЬКА/С.РЕПУЖИНЦІ","РЕПУЖИНЕЦКИЙ/С.РЕПУЖИНЦЫ"
"7321587601","С","РЕПУЖИНЦІ","РЕПУЖИНЦЫ"
"7321588000",,"РЖАВИНЕЦЬКА/С.РЖАВИНЦІ","РЖАВИНЕЦКИЙ/С.РЖАВИНЦЫ"
"7321588001","С","РЖАВИНЦІ","РЖАВИНЦЫ"
"7321588400",,"САМУШИНСЬКА/С.САМУШИН","САМУШИНСКИЙ/С.САМУШИН"
"7321588401","С","САМУШИН","САМУШИН"
"7321588800",,"ТОВТРІВСЬКА/С.ТОВТРИ","ТОВТРОВСКИЙ/С.ТОВТРЫ"
"7321588801","С","ТОВТРИ","ТОВТРЫ"
"7321589100",,"ЧОРНОПОТІЦЬКА/С.ЧОРНИЙ ПОТІК","ЧЕРНОПОТОКСКИЙ/С.ЧЕРНЫЙ ПОТОК"
"7321589101","С","ЧОРНИЙ ПОТІК","ЧЕРНЫЙ ПОТОК"
"7321589200",,"ЧУНЬКІВСЬКА/С.ЧУНЬКІВ","ЧУНЬКОВСКИЙ/С.ЧУНЬКОВ"
"7321589201","С","ЧУНЬКІВ","ЧУНЬКОВ"
"7321589500",,"ШУБРАНЕЦЬКА/С.ШУБРАНЕЦЬ","ШУБРАНЕЦКИЙ/С.ШУБРАНЕЦ"
"7321589501","С","ШУБРАНЕЦЬ","ШУБРАНЕЦ"
"7321589700",,"ЮРКОВЕЦЬКА/С.ЮРКІВЦІ","ЮРКОВЕЦКИЙ/С.ЮРКОВЦЫ"
"7321589701","С","ЮРКІВЦІ","ЮРКОВЦЫ"
"7322000000",,"КЕЛЬМЕНЕЦЬКИЙ РАЙОН/СМТ КЕЛЬМЕНЦІ","КЕЛЬМЕНЕЦКИЙ РАЙОН/ПГТ КЕЛЬМЕНЦЫ"
"7322055000",,"СЕЛИЩА МІСЬКОГО ТИПУ КЕЛЬМЕНЕЦЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА КЕЛЬМЕНЕЦКОГО Р-НА"
"7322055100","Т","КЕЛЬМЕНЦІ","КЕЛЬМЕНЦЫ"
"7322080000",,"СІЛЬРАДИ КЕЛЬМЕНЕЦЬКОГО Р-НУ","СЕЛЬСОВЕТЫ КЕЛЬМЕНЕЦКОГО Р-НА"
"7322080400",,"БАБИНСЬКА/С.БАБИН","БАБИНСКИЙ/С.БАБИН"
"7322080401","С","БАБИН","БАБИН"
"7322080800",,"БЕРНІВСЬКА/С.БЕРНОВЕ","БЕРНОВСКИЙ/С.БЕРНОВО"
"7322080801","С","БЕРНОВЕ","БЕРНОВО"
"7322081200",,"БУЗОВИЦЬКА/С.БУЗОВИЦЯ","БУЗОВИЦКИЙ/С.БУЗОВИЦА"
"7322081201","С","БУЗОВИЦЯ","БУЗОВИЦА"
"7322081600",,"БУРДЮЗЬКА/С.БУРДЮГ","БУРДЮГСКИЙ/С.БУРДЮГ"
"7322081601","С","БУРДЮГ","БУРДЮГ"
"7322082000",,"ВАРТИКОВЕЦЬКА/С.ВАРТИКІВЦІ","ВАРТИКОВЕЦКИЙ/С.ВАРТИКОВЦЫ"
"7322082001","С","ВАРТИКІВЦІ","ВАРТИКОВЦЫ"
"7322082002","С","СЛОБІДКА","СЛОБОДКА"
